Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2012-003308,10/19/2012,1:38 AM,Controlled Substance,Rubin Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2012-003310,10/18/2012,2:16 PM,Larceny (reclassified as missing property/recovered),Palladium Hall,"On time and date of report, a student states that between October 11th and time/date of report, her bicycle valued at $300 was taken from the bike room on the 1st floor. Declined police notification. NOTE: On November 8th, complainant reported to Public Safety that he recovered his property.",Close/Property Found
1-2012-003316,10/19/2012,1:50 PM,Harrassment,726 Broadway,"On time and date of report, an NYU staff member states that, on October 17 at approximately 11:30 AM, a co-worker made threatening remarks of an unsettling nature out loud in front of several co-workers.",Open/Under Investigation
1-2012-003322,10/19/2012,6:20 PM,Larceny,411 Lafayette St,"On time and date of report, an NYU Graduate Assistant reported that between 5:30-6:05 PM on date of the report, his iPhone of undetermined value was taken from his desk located on the 3rd fl. Declined police notification.",Open/Under Investigation
1-2012-003323,10/19/2012,9:00 PM,Larceny,721 Broadway/Waverly Bicycle Rack,"On time and date of report, a student states that between 7:15-8:45 PM on date of report his bicycle valued at $719 was taken from the bike rack at Waverly Place. Lock was cut and left behind. Declined police notification.",Open/Under Investigation
1-2012-003324,10/19/2012,9:35 PM,Larceny,Palladium Hall,"On time and date of report, a student states that between 6:45-7:15 PM on date of report his gym bag was taken from the weight room, containing NYU ID, credit cards and other valuables. Victim stated that he would notify NYPD at a later time.",Open/Under Investigation
1-2012-003325,10/19/2012,10:00 PM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana and paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2012-003333,10/20/2012,2:25 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 11:00 AM-1:00 PM on date of report, her calculator of undetermined value was taken from an unattended bag on the 3rd floor lounge. Declined police notification.",Open/Under Investigation
1-2012-003344,10/21/2012,8:16 PM,Harrassment,Education Bldg.,"On time and date of report, an NYU Security Officer states that an unkown visitor grabbed his shirt and made verbal threats before fleeing.NYPD was notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003346,10/21/2012,5:45 PM,Harrassment,Off Campus,"On time and date of report, a non-NYU affiliated individual states that she was threatened in the vicinity of Broome Street Residence by an unknown perpetrator with a knife. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003347,10/21/2012,5:10 PM,Larceny,On Campus,"On time and date of report, a student states that his backpack containing a Mac laptop of undetermined value and other personal property was taken from underneath a bench on which he was sitting on the Mercer side of Warren Weaver Hall. NYPD notified and a police report was filed.",Open/Under Investigation
1-2012-003349,10/22/2012,1:20 AM,Alarm/Mischievious,13th Street Residence,"On time and date of report, an unkown person activated a fire alarm on the 3rd floor resulting in the evacuation of approximately 100 residents. FDNY responded and gave an all-clear at 1:50 AM.",Open/Under Investigation
1-2012-003356,10/22/2012,2:30 PM,Harrassment,Washington Square Park,"On time and date of report, an NYU food service employee states that an unknown individual made harrassing comments and threw a stone at her, striking her on the wrist. NYPD was notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003360,10/22/2012,5:38 PM,Controlled Substance,Founders Hall,"On time and date of report, Public Safety assisted residence life with the confiscation of drug paraphernalia from a student's room.",Open/Under Investigation
1-2012-003363,10/22/2012,7:00 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 5:00-6:00 PM on date of report his Mac laptop of undetermined value was taken from the 3rd-floor lounge. Declined police notification.",Open/Under Investigation
1-2012-003366,10/23/2012,2:45 AM,Sexual Offense,On Campus,"On time and date of report, a student states that, at 2:25 AM, on the corner of W. 4th St. and Laguardia Place, an unknown individual on a bicycle blocked her path, groped her breast, then fled immediately. Student declined NYPD notification.",Open/Under Investigation
1-2012-003368,10/23/2012,7:00 AM,Larceny,Weinstein Hall,"On time and date of report, an NYU food service worker states that between 7:30am-3:25pm on Oct. 22 his Nike sneakers valued at $170 were taken from an unsecured locker in the basement locker room. Declined police notification.",Open/Under Investigation
1-2012-003369,10/23/2012,8:10 AM,Larceny,Weinstein Hall,"On time and date of report, a non-NYU student intern working in the Food Court states that between 8:00am-2:30pm on Oct. 22 his wallet containing ID cards, MetroCards and $30 was taken from an unattended backpack in the hallway next to the basement locker room. Declined police notification.",Open/Under Investigation
1-2012-003371,10/23/2012,12:00 PM,Harrassment,On Campus,"On time and date of report, a student states that he accidentally bumped into an unidentified individual in front of 721 Broadway resulting in the individual yelling obscenities and attempting to punch the student. NYPD was notified and a police report was filed.",Closed/Referred to NYPD
1-2012-003372,10/23/2012,2:38 PM,Larceny,NYU Washington DC,"On time and date of report, a staff member states that on time/date of report, she discovered that her Mac laptop of unknown value had been taken from her office sometime during the past week.",Open/Under Investigation
1-2012-003375,10/23/2012,4:20 PM,Larceny,Kriser Dental Center,"On time and date of report, a dental patient states that at 3:50pm while sitting in the 2nd floor waiting room he discovered that his wallet containing credit cards, Metrocards and $160 cash was missing from his pants pocket. At approximately 4:40pm, as report was taken, Public Safety was notified that the wallet was found in the 2nd-floor women's bathroom. Victim states that only the cash was missing.",Open/Under Investigation
1-2012-003380,10/23/2012,8:05 PM,Larceny,D'Agostino Hall,"On time and date of report, an NYU law student states that between 8:00pm Oct. 21 and 8:00pm on date of report her Huffy bicycle valued at $150 was taken from the bike rack next to the building. Declined police notification.",Open/Under Investigation
1-2012-003382,10/23/2012,9:50 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 12:00am Oct 18 and the time/date of report his bicycle valued at $100 was taken from the bike rack next to the building. Declined police notification.",Open/Under Investigation
1-2012-003391,10/24/2012,12:45 PM,Larceny/Shoplifting,NYU Bookstore,"On time and date of report, an NYU Loss Prevention Specialist states that he observed a male, later identified as an NYU student, place three textbooks in his backpack and attempt to leave the store. Suspect was stopped, transported to Security Office and processed.",Closed/Referred to University Judicial
1-2012-003392,10/24/2012,1:50 PM,Larceny,Shimkin Hall,"On time and date of report, a graduate student states that between 12:00pm and time/date of report his Mac laptop valued at $2300 was taken from the 2nd floor reading room while he left it unattended. NYPD responded but a report was not taken.",Open/Under Investigation
